position,feature,gain,normalized_gain,group
RB,receiving_tds_prev_per_game,1246.3900146484375,0.0003150868660669039,Prior season
RB,receiving_fumbles_prev_per_game,1426.1680603027344,0.00036053467961411284,Prior season
RB,receiving_fumbles_lost_prev_per_game,0.0,0.0,Prior season
RB,fantasy_points_ppr_prev_per_game,25530.36898803711,0.006454066431398116,Prior season
RB,player_games_prior,2474.780975341797,0.0006256235789424135,Other
RB,player_fp_career_mean_prior,79177.26739501953,0.020015979552174788,Player profile
RB,player_fp_career_std_prior,14410.502990722656,0.0036429690325104854,Player profile
RB,player_fp_career_p75_prior,18634.73110961914,0.0047108521059401245,Player profile
RB,player_fp_career_p90_prior,104069.85946655273,0.026308816250095207,Player profile
RB,player_fp_career_max_prior,35498.317932128906,0.0089739596887223,Player profile
RB,player_fp_roll3_mean,32119.974029541016,0.00811991578572866,Player profile
RB,player_fp_roll3_std,4469.076995849609,0.0011297807654782406,Player profile
RB,player_fp_roll3_max,11355.962097167969,0.0028707823926048225,Player profile
RB,player_fp_roll5_mean,312611.7033996582,0.07902810577940815,Player profile
RB,player_fp_roll5_std,8406.608947753906,0.002125187169719831,Player profile
RB,player_fp_roll5_max,2247.68701171875,0.0005682143214389504,Player profile
RB,player_fp_roll8_mean,721035.9072570801,0.1822775709603403,Player profile
RB,player_fp_roll8_std,3936.9789428710938,0.0009952666037929899,Player profile
RB,player_fp_roll8_max,10165.623107910156,0.0025698652019385594,Player profile
RB,player_boom10_rate_prior,13208.142028808594,0.0033390126922652934,Player profile
RB,player_boom15_rate_prior,6610.3079833984375,0.0016710830492440518,Player profile
RB,player_boom20_rate_prior,9039.366027832031,0.0022851478906821994,Player profile
RB,player_games_this_season_prior,7969.080047607422,0.0020145800496846624,Other
RB,player_fp_season_mean_prior,47660.38381958008,0.012048524776968045,Player profile
RB,player_boom10_rate_this_season_prior,860.9280090332031,0.0002176422348441278,Player profile
RB,player_boom15_rate_this_season_prior,504.9490051269531,0.0001276508939249886,Player profile
RB,player_boom20_rate_this_season_prior,5657.666076660156,0.0014302555800326342,Player profile
RB,fp_roll3_vs_prev_per_game,6912.080017089844,0.0017473708911273818,Prior season
RB,fp_career_mean_vs_prev_per_game,12995.528015136719,0.003285263959956432,Player profile
RB,team_position_total_carries_lag1,2882.221954345703,0.0007286244852981846,Opportunity share
RB,team_position_share_carries_lag1,171821.70703125,0.04343645452423887,Opportunity share
RB,team_position_total_carries_roll3_mean,26243.758056640625,0.006634410884796253,Opportunity share
RB,team_position_share_carries_roll3_mean,74062.21826171875,0.018722897304845828,Opportunity share
RB,team_position_total_carries_roll5_mean,14313.312805175781,0.0036183993949038622,Opportunity share
RB,team_position_share_carries_roll5_mean,46324.271545410156,0.011710756161820345,Opportunity share
RB,team_position_total_rushing_yards_lag1,9180.199951171875,0.0023207506466570815,Opportunity share
RB,team_position_share_rushing_yards_lag1,43769.73291015625,0.011064969880344066,Opportunity share
RB,team_position_total_rushing_yards_roll3_mean,8012.782897949219,0.002025628111680146,Opportunity share
RB,team_position_share_rushing_yards_roll3_mean,502672.028717041,0.12707527525613246,Opportunity share
RB,team_position_total_rushing_yards_roll5_mean,21961.664916992188,0.005551899558709462,Opportunity share
RB,team_position_share_rushing_yards_roll5_mean,830255.845489502,0.2098883249339924,Opportunity share
RB,team_position_total_targets_lag1,2353.4140014648438,0.0005949420595195389,Opportunity share
